code_competence,nom_competence,id_categorie_detention,date_mise_a_jour
COMP16,Equipements réseau et sécurité Cisco et Palo Alto,poorly_held,2025-09-03 13:38:01
COMP513,Fiabiliser,moderately_held,2025-09-03 13:38:38
COMP520,Gérer un conflit,moderately_held,2025-09-03 13:38:38
COMP395,Architecture des réseaux d'entreprise,poorly_held,2025-09-03 13:38:25
COMP542,Piloter un prestataire,poorly_held,2025-09-03 13:38:41
COMP560,Résoudre un problème,moderately_held,2025-09-03 13:38:44
COMP447,Connaitre les outils de production BIZAGI et Entreprise Architect,poorly_held,2025-09-03 13:38:30
COMP528,Manager,moderately_held,2025-09-03 13:38:39
COMP579,Etre autonome,well_held,2025-09-03 13:38:46
COMP105,Maitrise de techniques liées à l'efficacité énergétique ;,poorly_held,2025-09-03 13:38:04
COMP117,Techniques de gestion de conflits,moderately_held,2025-09-03 13:38:04
COMP332,Certificat d'aptitude à la conduite en sécurité (Caces),poorly_held,2025-09-03 13:38:19
COMP490,Coordonner,moderately_held,2025-10-29 03:13:24
COMP491,Décider,poorly_held,2025-09-03 13:38:35
COMP156,Réglementation douanière,moderately_held,2026-01-30 04:13:36
COMP384,Maîtrise du management des projets (PMBoK...) et des méthodes agiles (Scrum),poorly_held,2025-09-03 13:38:24
COMP615,Méthodes de rédaction des documents techniques,poorly_held,2026-02-04 22:15:25
COMP503,"Elaborer un plan d'action, un programme",moderately_held,2025-09-03 13:38:36
COMP272,"Principes élémentaires de la mécanique et des systèmes électriques, hydrauliques et pneumatiques.",poorly_held,2025-09-03 13:38:14
COMP97,"Réglementation postale, notamment en matière de distribution",moderately_held,2025-09-03 13:38:03
COMP292,"Hydraulique, système de sécurité incendie et automatisme",poorly_held,2025-09-03 13:38:15
COMP485,Constituer et entretenir un réseau,well_held,2025-09-03 13:38:34
COMP103,Règles et normes en matière de transition énergétique,poorly_held,2025-09-03 13:38:04
COMP577,Esprit de synthèse,well_held,2025-09-03 13:38:46
COMP157,Connaissance des offres et services postaux,moderately_held,2025-09-03 13:38:06
COMP130,"Connaissance des différentes techniques d'entretien dans le cadre d'études qualitatives : focus group, entretien en face à face, observation...",poorly_held,2025-09-03 13:38:05
COMP526,Juger,well_held,2025-09-03 13:38:39
COMP382,"Documents d'orientation générale locaux ou territoriaux (plan de développement urbain (PDU), schéma de cohérence territoriale (SCOT), etc.)",poorly_held,2025-09-03 13:38:24
COMP121,Management/Pilotage,moderately_held,2025-09-03 13:38:04
COMP280,"Techniques du bâtiment de second d'oeuvre : maçonnerie, plâtrerie, électricité, menuiserie, plomberie, soudure, peinture ...",poorly_held,2025-09-03 13:38:15
COMP176,Techniques de management des ventes,moderately_held,2026-02-26 22:52:57
COMP458,Analyser un risque,well_held,2025-09-03 13:38:31
COMP435,Connaissance des processus de l'entreprise applicables à la gestion des incidents.,poorly_held,2026-02-26 00:28:02
COMP256,Systèmes d'Information Géographique,poorly_held,2025-09-03 13:38:13
COMP553,"Rechercher des données, des informations",moderately_held,2025-09-03 13:38:43
COMP271,Comptabilité analytique,moderately_held,2026-02-26 22:38:40
COMP107,Technique de gestion de projet et de benchmarking,poorly_held,2025-09-03 13:38:04
COMP525,Instruire un dossier,moderately_held,2025-09-03 13:38:39
COMP276,Procédures d'habilitation des matériels.,poorly_held,2025-09-03 13:38:14
