code_competence,nom_competence,neobrain_competence_id,groupe_competence_id,referentiel_competence_id
COMP1,Processus de gestion administrative d'une commande publique.,21967172,savoir,opt_nc_2025
COMP100,"Hygiène, sécurité et conditions de travail",21967271,savoir,opt_nc_2025
COMP101,Règles de raccordement postale et d'adressage,21967272,savoir,opt_nc_2025
COMP103,Règles et normes en matière de transition énergétique,21967274,savoir,opt_nc_2025
COMP104,"Règles et normes en matière d'installations photovoltaïques, climatisations et électriques ; études de conception de ces installations",21967275,savoir,opt_nc_2025
COMP105,Maitrise de techniques liées à l'efficacité énergétique ;,21967276,savoir,opt_nc_2025
COMP106,"Technologies en matière d'électricité, de climatisation, d'énergie renouvelable ;",21967277,savoir,opt_nc_2025
COMP107,Technique de gestion de projet et de benchmarking,21967278,savoir,opt_nc_2025
COMP108,"Outils logiciels de supervision d'installations photovoltaïques, de pilotage énergétique, de bureautique et d'applications informatiques (Autocad et MS Project) ;",21967279,savoir,opt_nc_2025
COMP11,Anglais technique lu et écrit,21967182,savoir,opt_nc_2025
COMP110,Connaissance de la réglementation sur les statuts de la fonction publique et de l'OPT-NC,21967281,savoir,opt_nc_2025
COMP111,"Connaissance des instances, processus et circuits de décision de l'OPT-NC",21967282,savoir,opt_nc_2025
COMP112,Connaissance en droit du travail,21967283,savoir,opt_nc_2025
COMP113,Connaissance des métiers de l'Office,21967284,savoir,opt_nc_2025
COMP114,"Offre, réglementation et procédures liées aux produits et services commercialisés par l'OPT",21967285,savoir,opt_nc_2025
COMP115,Techniques de management,21967286,savoir,opt_nc_2025
COMP116,Techniques de communication,21967287,savoir,opt_nc_2025
COMP117,Techniques de gestion de conflits,21967288,savoir,opt_nc_2025
COMP12,Connaissance en Gestion documentaire,21967183,savoir,opt_nc_2025
COMP121,Management/Pilotage,21967292,savoir,opt_nc_2025
COMP122,Connaissance de la démarché qualité,21967293,savoir,opt_nc_2025
COMP127,Techniques d'animation,21967298,savoir,opt_nc_2025
COMP129,"Techniques de modélisations statistiques (tris croisés, typologies, scoring...).",21967300,savoir,opt_nc_2025
COMP130,"Connaissance des différentes techniques d'entretien dans le cadre d'études qualitatives : focus group, entretien en face à face, observation...",21967301,savoir,opt_nc_2025
COMP131,Connaissance de la culture marketing,21967302,savoir,opt_nc_2025
COMP136,Maitrise des SIG et des outils de gestion logistique,21967307,savoir,opt_nc_2025
COMP137,"Expertise en transport, logistique, flux et transit international",21967308,savoir,opt_nc_2025
COMP14,"Architectures, protocoles et infrastructures des réseaux publics et d'entreprise",21967185,savoir,opt_nc_2025
COMP141,Connaissance des outils et des méthodes d'approvisionnement et de tenue de planning,21967312,savoir,opt_nc_2025
COMP143,Connaissance des régles d'urbanisme des différentes zones d'interventions,21967314,savoir,opt_nc_2025
COMP144,Connaissance des SI,21967315,savoir,opt_nc_2025
COMP145,"Matériel télécom, postal et services OPT",21967316,savoir,opt_nc_2025
COMP147,Procédures douanières,21967318,savoir,opt_nc_2025
COMP149,Connaissances de la réglementation de la formation profesionnelle continue,21967320,savoir,opt_nc_2025
COMP15,Sécurité des réseaux,21967186,savoir,opt_nc_2025
COMP151,Connaissance en gestion budgétaire et comptable,21967322,savoir,opt_nc_2025
COMP153,Connaissance en méthode d'ingénierie de formation et de gestion de projet,21967324,savoir,opt_nc_2025
COMP155,Réglementation postale,21967326,savoir,opt_nc_2025
COMP156,Réglementation douanière,21967327,savoir,opt_nc_2025
COMP157,Connaissance des offres et services postaux,21967328,savoir,opt_nc_2025
COMP16,Equipements réseau et sécurité Cisco et Palo Alto,21967187,savoir,opt_nc_2025
COMP17,Technologies de virtualisation et de programmation réseau,21967188,savoir,opt_nc_2025
COMP171,Connaissance de la réglementation du domaine,21967342,savoir,opt_nc_2025
COMP172,Connaissance des logiciels et systèmes d'information liés aux activités confiées,21967343,savoir,opt_nc_2025
COMP173,Maitriser la règlementation liée aux produits et services commercialisées par l'office,21967344,savoir,opt_nc_2025
COMP174,Maitrise de la comptabilité des agences,21967345,savoir,opt_nc_2025
