code_competence,categorie_detention_id,date_mise_a_jour
COMP1,poorly_held,2025-09-03 13:38:00
COMP100,well_held,2026-03-23 06:49:17
COMP101,moderately_held,2025-09-03 13:38:03
COMP103,poorly_held,2025-09-03 13:38:04
COMP104,poorly_held,2025-09-03 13:38:04
COMP105,poorly_held,2025-09-03 13:38:04
COMP106,poorly_held,2025-09-03 13:38:04
COMP107,poorly_held,2025-09-03 13:38:04
COMP108,poorly_held,2025-09-03 13:38:04
COMP11,well_held,2025-09-03 13:38:01
COMP110,poorly_held,2026-02-26 22:38:40
COMP111,poorly_held,2025-09-03 13:38:04
COMP112,poorly_held,2025-09-03 13:38:04
COMP113,poorly_held,2025-09-03 13:38:04
COMP114,poorly_held,2025-09-03 13:38:04
COMP115,poorly_held,2025-12-29 05:14:35
COMP116,well_held,2025-12-29 05:14:34
COMP117,moderately_held,2025-09-03 13:38:04
COMP12,poorly_held,2025-09-03 13:38:01
COMP121,moderately_held,2025-09-03 13:38:04
COMP122,poorly_held,2025-09-03 13:38:04
COMP127,poorly_held,2026-03-17 05:23:27
COMP129,poorly_held,2026-03-29 23:02:11
COMP130,poorly_held,2025-09-03 13:38:05
COMP131,poorly_held,2026-02-04 01:30:42
COMP136,poorly_held,2025-09-03 13:38:05
COMP137,poorly_held,2025-09-03 13:38:05
COMP14,poorly_held,2025-09-03 13:38:01
COMP141,poorly_held,2026-02-26 00:28:02
COMP143,poorly_held,2025-09-03 13:38:05
COMP144,poorly_held,2025-09-03 13:38:05
COMP145,poorly_held,2025-09-03 13:38:06
COMP147,poorly_held,2025-09-03 13:38:06
COMP149,poorly_held,2025-09-03 13:38:06
COMP15,poorly_held,2025-09-03 13:38:01
COMP151,moderately_held,2025-09-03 13:38:06
COMP153,poorly_held,2025-09-03 13:38:06
COMP155,moderately_held,2025-09-03 13:38:06
COMP156,moderately_held,2026-01-30 04:13:36
COMP157,moderately_held,2025-09-03 13:38:06
COMP16,poorly_held,2025-09-03 13:38:01
COMP17,poorly_held,2025-09-03 13:38:01
COMP171,moderately_held,2025-09-03 13:38:07
COMP172,moderately_held,2026-02-26 22:38:40
COMP173,moderately_held,2025-09-03 13:38:07
COMP174,moderately_held,2025-09-03 13:38:07
COMP176,moderately_held,2026-02-26 22:52:57
COMP179,moderately_held,2025-09-03 13:38:07
COMP18,poorly_held,2025-09-03 13:38:01
COMP183,poorly_held,2025-09-03 13:38:08
COMP184,poorly_held,2025-09-03 13:38:08
COMP185,poorly_held,2025-09-03 13:38:08
COMP186,poorly_held,2025-09-03 13:38:08
COMP187,poorly_held,2025-09-03 13:38:08
COMP188,poorly_held,2025-09-03 13:38:08
COMP190,poorly_held,2025-09-03 13:38:08
COMP191,poorly_held,2025-09-03 13:38:08
COMP194,poorly_held,2025-09-03 13:38:08
COMP195,poorly_held,2025-09-03 13:38:09
COMP196,poorly_held,2026-03-15 23:12:50
COMP20,poorly_held,2025-09-03 13:38:01
COMP200,well_held,2026-02-26 00:26:18
COMP206,poorly_held,2025-09-03 13:38:09
COMP208,poorly_held,2025-10-27 00:28:06
COMP209,poorly_held,2025-09-03 13:38:09
COMP210,well_held,2025-10-24 04:50:37
COMP213,poorly_held,2025-09-03 13:38:10
COMP214,poorly_held,2026-04-07 23:22:49
COMP215,poorly_held,2025-09-03 13:38:10
COMP217,poorly_held,2025-09-03 13:38:10
COMP219,poorly_held,2026-02-04 01:33:55
COMP22,poorly_held,2025-09-03 13:38:01
COMP226,moderately_held,2025-09-03 13:38:11
COMP228,moderately_held,2026-02-25 04:46:51
COMP230,moderately_held,2026-02-25 04:46:51
COMP231,poorly_held,2025-09-03 13:38:11
COMP234,poorly_held,2025-09-03 13:38:11
COMP235,poorly_held,2025-09-03 13:38:11
COMP238,poorly_held,2025-09-03 13:38:11
COMP239,poorly_held,2025-09-03 13:38:11
COMP240,poorly_held,2025-09-03 13:38:12
COMP247,poorly_held,2026-01-20 23:30:17
COMP255,poorly_held,2025-09-03 13:38:13
COMP256,poorly_held,2025-09-03 13:38:13
COMP257,poorly_held,2025-09-03 13:38:13
COMP258,poorly_held,2025-09-03 13:38:13
COMP259,poorly_held,2025-09-03 13:38:13
COMP26,moderately_held,2025-12-15 04:17:17
COMP261,poorly_held,2025-09-03 13:38:13
COMP262,poorly_held,2025-09-03 13:38:13
COMP27,well_held,2025-09-03 13:38:01
COMP271,moderately_held,2026-02-26 22:38:40
COMP272,poorly_held,2025-09-03 13:38:14
COMP273,poorly_held,2025-09-03 13:38:14
COMP276,poorly_held,2025-09-03 13:38:14
COMP28,poorly_held,2025-09-03 13:38:01
COMP280,poorly_held,2025-09-03 13:38:15
COMP281,poorly_held,2025-09-03 13:38:15
COMP283,poorly_held,2025-09-03 13:38:15
COMP284,poorly_held,2025-09-03 13:38:15
COMP285,poorly_held,2025-09-03 13:38:15
COMP286,poorly_held,2025-09-03 13:38:15
COMP287,poorly_held,2025-09-03 13:38:15
COMP288,poorly_held,2025-09-03 13:38:15
COMP289,poorly_held,2025-09-03 13:38:15
COMP29,well_held,2026-02-25 04:15:39
COMP290,poorly_held,2025-09-03 13:38:15
COMP291,poorly_held,2025-09-03 13:38:15
COMP292,poorly_held,2025-09-03 13:38:15
COMP293,poorly_held,2025-09-03 13:38:16
COMP294,poorly_held,2025-09-03 13:38:16
COMP3,poorly_held,2025-09-03 13:38:01
COMP30,moderately_held,2025-09-03 13:38:01
COMP304,poorly_held,2025-09-03 13:38:16
COMP31,poorly_held,2026-02-05 02:51:24
COMP310,poorly_held,2025-09-03 13:38:17
COMP311,poorly_held,2025-09-03 13:38:17
COMP312,poorly_held,2025-09-03 13:38:17
COMP313,poorly_held,2025-09-03 13:38:17
COMP316,well_held,2026-02-25 23:48:57
COMP318,poorly_held,2025-09-03 13:38:18
COMP32,poorly_held,2025-09-03 13:38:01
COMP320,poorly_held,2025-09-03 13:38:18
COMP321,poorly_held,2025-09-03 13:38:18
COMP322,poorly_held,2025-09-03 13:38:18
COMP328,poorly_held,2025-09-03 13:38:19
COMP329,poorly_held,2025-09-03 13:38:19
COMP330,poorly_held,2025-09-03 13:38:19
COMP331,poorly_held,2025-09-03 13:38:19
COMP332,poorly_held,2025-09-03 13:38:19
COMP337,poorly_held,2026-03-16 00:19:09
COMP34,poorly_held,2025-09-03 13:38:01
COMP342,poorly_held,2025-09-03 13:38:20
COMP343,poorly_held,2025-09-03 13:38:20
COMP347,poorly_held,2025-09-03 13:38:20
COMP350,poorly_held,2025-09-03 13:38:20
COMP351,poorly_held,2026-04-07 23:22:50
COMP352,poorly_held,2025-10-28 07:36:59
COMP354,poorly_held,2025-09-03 13:38:21
COMP355,poorly_held,2025-09-03 13:38:21
COMP356,poorly_held,2025-09-03 13:38:21
COMP357,well_held,2025-10-27 06:12:43
COMP358,poorly_held,2025-09-03 13:38:21
COMP359,poorly_held,2025-09-03 13:38:21
COMP36,poorly_held,2025-09-03 13:38:01
COMP360,poorly_held,2025-09-03 13:38:21
COMP366,poorly_held,2025-09-03 13:38:22
COMP367,poorly_held,2025-09-03 13:38:22
COMP374,poorly_held,2025-09-03 13:38:23
COMP375,poorly_held,2025-09-03 13:38:23
COMP376,poorly_held,2025-09-03 13:38:23
COMP377,poorly_held,2025-09-03 13:38:23
COMP379,poorly_held,2025-09-03 13:38:23
COMP380,poorly_held,2025-09-03 13:38:23
COMP381,poorly_held,2025-09-03 13:38:23
COMP382,poorly_held,2025-09-03 13:38:24
COMP383,poorly_held,2025-09-03 13:38:24
COMP384,poorly_held,2025-09-03 13:38:24
COMP385,poorly_held,2025-09-03 13:38:24
COMP386,poorly_held,2025-09-03 13:38:24
COMP387,poorly_held,2025-09-03 13:38:24
COMP388,poorly_held,2025-09-03 13:38:24
COMP389,poorly_held,2025-09-03 13:38:24
COMP39,poorly_held,2025-09-03 13:38:01
COMP390,poorly_held,2025-09-03 13:38:24
COMP391,poorly_held,2025-09-03 13:38:24
COMP393,poorly_held,2025-09-03 13:38:25
COMP395,poorly_held,2025-09-03 13:38:25
COMP4,poorly_held,2025-09-03 13:38:01
COMP40,poorly_held,2025-09-03 13:38:01
COMP405,poorly_held,2026-04-08 05:56:29
COMP406,poorly_held,2025-09-03 13:38:26
COMP407,poorly_held,2026-03-18 06:01:58
COMP408,poorly_held,2025-09-03 13:38:26
COMP411,poorly_held,2025-09-03 13:38:26
COMP414,poorly_held,2025-09-03 13:38:27
COMP415,poorly_held,2025-10-23 07:34:15
COMP420,poorly_held,2025-09-03 13:38:27
COMP421,poorly_held,2025-09-03 13:38:27
COMP422,poorly_held,2025-09-03 13:38:27
COMP423,poorly_held,2025-09-03 13:38:28
COMP424,moderately_held,2026-02-25 23:48:57
COMP426,moderately_held,2025-09-03 13:38:28
COMP428,moderately_held,2026-02-25 23:48:57
COMP429,moderately_held,2025-09-03 13:38:28
COMP43,poorly_held,2025-09-03 13:38:01
COMP435,poorly_held,2026-02-26 00:28:02
COMP437,poorly_held,2026-02-26 00:28:02
COMP438,poorly_held,2026-02-03 23:56:21
COMP44,poorly_held,2026-02-04 04:34:32
COMP440,poorly_held,2026-02-03 23:57:23
COMP441,poorly_held,2026-02-03 23:44:46
COMP442,poorly_held,2025-09-03 13:38:30
COMP443,poorly_held,2025-09-03 13:38:30
COMP444,poorly_held,2025-09-03 13:38:30
COMP445,poorly_held,2025-09-03 13:38:30
COMP446,poorly_held,2025-09-03 13:38:30
COMP447,poorly_held,2025-09-03 13:38:30
COMP448,poorly_held,2025-09-03 13:38:30
COMP449,well_held,2025-09-03 13:38:30
COMP450,moderately_held,2025-09-03 13:38:30
COMP451,moderately_held,2025-09-03 13:38:31
COMP452,well_held,2025-09-03 13:38:31
COMP453,well_held,2025-09-03 13:38:31
COMP454,well_held,2025-09-03 13:38:31
COMP455,poorly_held,2025-09-03 13:38:31
COMP456,well_held,2025-09-03 13:38:31
COMP457,moderately_held,2025-09-03 13:38:31
COMP458,well_held,2025-09-03 13:38:31
COMP459,well_held,2025-09-03 13:38:31
COMP460,poorly_held,2025-09-03 13:38:32
COMP461,moderately_held,2025-09-03 13:38:32
COMP462,well_held,2025-09-03 13:38:32
COMP463,well_held,2025-09-03 13:38:32
COMP464,well_held,2025-09-03 13:38:32
COMP465,moderately_held,2025-09-03 13:38:32
COMP466,moderately_held,2025-09-03 13:38:32
COMP467,moderately_held,2025-09-03 13:38:32
COMP468,moderately_held,2025-09-03 13:38:32
COMP469,moderately_held,2025-09-03 13:38:32
COMP47,poorly_held,2025-09-03 13:38:02
COMP470,moderately_held,2025-09-03 13:38:33
COMP471,poorly_held,2025-09-03 13:38:33
COMP472,moderately_held,2025-09-03 13:38:33
COMP473,well_held,2025-09-03 13:38:33
COMP474,well_held,2025-09-03 13:38:33
COMP475,well_held,2025-09-03 13:38:33
COMP476,moderately_held,2025-09-03 13:38:33
COMP477,moderately_held,2025-09-03 13:38:33
COMP478,poorly_held,2025-09-03 13:38:34
COMP479,well_held,2025-09-03 13:38:34
COMP48,poorly_held,2025-09-03 13:38:02
COMP480,moderately_held,2026-03-30 04:44:09
COMP481,moderately_held,2025-09-03 13:38:34
COMP482,moderately_held,2025-09-03 13:38:34
COMP483,moderately_held,2025-09-03 13:38:34
COMP484,well_held,2025-09-03 13:38:34
COMP485,well_held,2025-09-03 13:38:34
COMP486,well_held,2025-09-03 13:38:34
COMP487,well_held,2025-09-03 13:38:35
COMP488,moderately_held,2025-09-03 13:38:35
COMP489,moderately_held,2025-09-03 13:38:35
COMP490,moderately_held,2025-10-29 03:13:24
COMP491,poorly_held,2025-09-03 13:38:35
COMP492,poorly_held,2025-09-03 13:38:35
COMP493,well_held,2025-12-18 05:58:32
COMP494,poorly_held,2025-09-03 13:38:35
COMP495,poorly_held,2025-09-03 13:38:36
COMP496,well_held,2025-09-03 13:38:36
COMP497,poorly_held,2025-09-03 13:38:36
COMP498,poorly_held,2025-09-03 13:38:36
COMP499,well_held,2025-09-03 13:38:36
COMP5,poorly_held,2025-09-03 13:38:01
COMP50,well_held,2025-09-03 13:38:02
COMP500,poorly_held,2025-09-03 13:38:36
COMP501,well_held,2025-09-03 13:38:36
COMP502,moderately_held,2025-09-03 13:38:36
COMP503,moderately_held,2025-09-03 13:38:36
COMP504,moderately_held,2025-09-03 13:38:37
COMP505,poorly_held,2025-09-03 13:38:37
COMP506,poorly_held,2025-09-03 13:38:37
COMP507,poorly_held,2025-09-03 13:38:37
COMP508,poorly_held,2025-09-03 13:38:37
COMP509,well_held,2025-09-03 13:38:37
COMP510,moderately_held,2025-09-03 13:38:37
COMP511,poorly_held,2025-09-03 13:38:37
COMP512,well_held,2025-09-03 13:38:38
COMP513,moderately_held,2025-09-03 13:38:38
COMP514,well_held,2025-09-03 13:38:38
COMP515,well_held,2025-09-03 13:38:38
COMP516,well_held,2025-09-03 13:38:38
COMP517,poorly_held,2025-09-03 13:38:38
COMP518,well_held,2025-09-03 13:38:38
COMP519,moderately_held,2025-09-03 13:38:38
COMP520,moderately_held,2025-09-03 13:38:38
COMP521,well_held,2025-09-03 13:38:39
COMP522,moderately_held,2025-09-03 13:38:39
COMP523,well_held,2025-09-03 13:38:39
COMP524,poorly_held,2026-03-16 23:16:37
COMP525,moderately_held,2025-09-03 13:38:39
COMP526,well_held,2025-09-03 13:38:39
COMP527,well_held,2025-09-03 13:38:39
COMP528,moderately_held,2025-09-03 13:38:39
COMP529,poorly_held,2025-09-03 13:38:40
COMP53,well_held,2025-09-03 13:38:02
COMP530,poorly_held,2025-09-03 13:38:40
COMP531,well_held,2025-09-03 13:38:40
COMP532,moderately_held,2025-09-03 13:38:40
COMP533,moderately_held,2025-09-03 13:38:40
COMP534,well_held,2025-09-03 13:38:40
COMP535,well_held,2025-09-03 13:38:40
COMP536,poorly_held,2025-09-03 13:38:41
COMP537,moderately_held,2025-09-03 13:38:41
COMP538,moderately_held,2026-01-19 05:20:08
COMP539,poorly_held,2025-09-03 13:38:41
COMP54,well_held,2026-03-12 00:00:40
COMP540,well_held,2025-09-03 13:38:41
COMP541,well_held,2025-09-03 13:38:41
COMP542,poorly_held,2025-09-03 13:38:41
COMP543,moderately_held,2025-09-03 13:38:41
COMP544,poorly_held,2025-09-03 13:38:42
COMP545,moderately_held,2025-10-29 03:13:25
COMP546,well_held,2025-09-03 13:38:42
COMP547,well_held,2025-09-03 13:38:42
COMP548,well_held,2025-12-02 00:46:45
COMP549,well_held,2025-09-03 13:38:42
COMP550,well_held,2025-09-03 13:38:42
COMP551,poorly_held,2025-09-03 13:38:42
COMP552,poorly_held,2025-09-03 13:38:42
COMP553,moderately_held,2025-09-03 13:38:43
COMP554,well_held,2025-09-03 13:38:43
COMP555,poorly_held,2025-09-03 13:38:43
COMP556,moderately_held,2025-09-03 13:38:43
COMP557,well_held,2025-09-03 13:38:43
COMP558,well_held,2025-09-03 13:38:43
COMP559,moderately_held,2025-09-03 13:38:43
COMP56,poorly_held,2025-09-03 13:38:02
COMP560,moderately_held,2025-09-03 13:38:44
COMP561,poorly_held,2025-09-03 13:38:44
COMP562,well_held,2025-09-03 13:38:44
COMP563,poorly_held,2025-09-03 13:38:44
COMP564,poorly_held,2025-09-03 13:38:44
COMP565,moderately_held,2025-09-03 13:38:44
COMP566,moderately_held,2025-09-03 13:38:44
COMP567,poorly_held,2026-03-23 06:49:17
COMP568,well_held,2025-09-03 13:38:45
COMP569,well_held,2026-01-12 04:17:11
COMP57,poorly_held,2026-02-25 23:48:57
COMP570,moderately_held,2025-09-03 13:38:45
COMP571,well_held,2025-09-03 13:38:45
COMP572,well_held,2025-09-03 13:38:45
COMP573,well_held,2025-09-03 13:38:45
COMP574,poorly_held,2025-09-03 13:38:45
COMP575,poorly_held,2025-09-03 13:38:46
COMP576,well_held,2025-09-03 13:38:46
COMP577,well_held,2025-09-03 13:38:46
COMP578,well_held,2025-11-25 03:55:14
COMP579,well_held,2025-09-03 13:38:46
COMP58,well_held,2026-03-09 06:03:23
COMP580,poorly_held,2025-09-03 13:38:46
COMP581,well_held,2025-09-03 13:38:46
COMP582,moderately_held,2025-09-03 13:38:47
COMP583,well_held,2025-09-03 13:38:47
COMP584,moderately_held,2025-09-03 13:38:47
COMP585,well_held,2025-12-18 02:16:28
COMP586,well_held,2026-01-14 03:23:17
COMP587,well_held,2025-09-03 13:38:47
COMP588,well_held,2025-09-03 13:38:47
COMP589,well_held,2025-09-03 13:38:47
COMP59,poorly_held,2026-02-25 23:48:57
COMP590,well_held,2025-09-03 13:38:48
COMP591,well_held,2025-09-03 13:38:48
COMP592,well_held,2025-09-03 13:38:48
COMP593,well_held,2025-09-03 13:38:48
COMP594,well_held,2025-09-03 13:38:48
COMP595,well_held,2025-09-03 13:38:48
COMP596,well_held,2026-03-18 03:27:50
COMP597,well_held,2025-10-23 04:15:11
COMP598,well_held,2025-10-27 00:28:05
COMP599,well_held,2025-09-03 13:38:49
COMP6,poorly_held,2025-09-03 13:38:01
COMP60,poorly_held,2026-03-16 00:20:06
COMP600,moderately_held,2025-09-03 13:38:49
COMP601,moderately_held,2025-09-03 13:38:49
COMP602,moderately_held,2025-09-03 13:38:49
COMP603,moderately_held,2025-09-03 13:38:49
COMP604,moderately_held,2025-09-03 13:38:49
COMP605,moderately_held,2025-09-03 13:38:50
COMP606,moderately_held,2025-09-03 13:38:50
COMP607,poorly_held,2026-02-04 22:20:20
COMP608,poorly_held,2026-02-04 22:19:54
COMP609,poorly_held,2026-02-04 22:19:19
COMP61,well_held,2026-02-25 04:15:39
COMP611,poorly_held,2026-02-04 22:18:38
COMP612,moderately_held,2026-02-26 00:57:18
COMP613,poorly_held,2026-02-04 22:15:57
COMP614,poorly_held,2026-02-04 22:15:40
COMP615,poorly_held,2026-02-04 22:15:25
COMP62,poorly_held,2026-02-26 04:46:53
COMP63,poorly_held,2025-09-03 13:38:02
COMP64,poorly_held,2025-09-03 13:38:02
COMP65,poorly_held,2025-09-03 13:38:02
