id_neobrain_metier,code_metier,nom_metier,famille_metier,nom_competence,referentiel_competence,code_competence,id_neobrain_competence,groupe_competence,poids,niveau_requis,date_creation,date_mise_a_jour,relation_metier_competence_active
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,Aisance relationnelle,OPT-NC 2025,COMP585,21967756,Savoir être,2.0,4.0,2025-09-03 13:56:17,2025-09-11 07:27:23,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,"Analyser un contexte, une problématique, une complexité",OPT-NC 2025,COMP456,21967627,savoir faire,2.0,4.0,2025-09-03 13:56:16,2025-09-11 07:26:56,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,"Analyser une information, une donnée, une situation, un dispositif",OPT-NC 2025,COMP459,21967630,savoir faire,2.0,4.0,2025-09-03 13:56:16,2025-09-11 07:26:58,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,"Capitaliser une expérience, une connaissance",OPT-NC 2025,COMP472,21967643,savoir faire,2.0,3.0,2025-09-03 13:56:16,2025-09-11 07:27:00,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,"Concevoir un support, un document",OPT-NC 2025,COMP478,21967649,savoir faire,2.0,3.0,2025-09-03 13:56:16,2025-09-11 07:27:02,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,Connaissance de l'organisation du fonctionnement et des processus de l'OPT-NC,OPT-NC 2025,COMP61,21967232,Savoir,2.0,3.0,2025-09-03 13:56:16,2025-09-11 07:26:36,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,Connaissance des outils bureautiques et applications informatiques nécessaires au métier,OPT-NC 2025,COMP29,21967200,Savoir,2.0,3.0,2025-09-03 13:56:16,2025-09-11 07:26:42,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,Dialoguer,OPT-NC 2025,COMP497,21967668,savoir faire,2.0,4.0,2025-09-03 13:56:16,2025-09-11 07:27:05,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,"Défendre une position, un intérêt",OPT-NC 2025,COMP492,21967663,savoir faire,2.0,4.0,2025-09-03 13:56:16,2025-09-11 07:27:04,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,Esprit d'initiative,OPT-NC 2025,COMP578,21967749,Savoir être,2.0,4.0,2025-09-03 13:56:17,2025-09-11 07:27:19,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,Etre autonome,OPT-NC 2025,COMP579,21967750,Savoir être,2.0,4.0,2025-09-03 13:56:17,2025-09-11 07:27:21,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,Faire preuve de leadership,OPT-NC 2025,COMP592,21967763,Savoir être,2.0,4.0,2025-09-03 13:56:17,2025-09-11 07:27:13,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,Manager,OPT-NC 2025,COMP528,21967699,savoir faire,2.0,4.0,2025-09-03 13:56:16,2025-09-11 07:26:52,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,Mobiliser,OPT-NC 2025,COMP536,21967707,savoir faire,2.0,3.0,2025-09-03 13:56:16,2025-09-11 07:27:07,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,"Offre, réglementation et procédures liées aux produits et services commercialisés par l'OPT",OPT-NC 2025,COMP114,21967285,Savoir,2.0,3.0,2025-09-03 13:56:16,2025-09-11 07:26:40,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,Piloter une activité,OPT-NC 2025,COMP543,21967714,savoir faire,2.0,4.0,2025-09-03 13:56:16,2025-09-11 07:26:54,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,Réactivité,OPT-NC 2025,COMP596,21967767,Savoir être,2.0,4.0,2025-09-03 13:56:17,2025-09-11 07:27:24,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,Rédiger,OPT-NC 2025,COMP554,21967725,savoir faire,2.0,4.0,2025-09-03 13:56:17,2025-09-11 07:27:09,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,Sens de l'analyse,OPT-NC 2025,COMP583,21967754,Savoir être,2.0,4.0,2025-09-03 13:56:17,2025-09-11 07:27:17,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,Sens de la pédagogie,OPT-NC 2025,COMP593,21967764,Savoir être,2.0,3.0,2025-09-03 13:56:17,2025-09-11 07:27:15,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,Techniques de communication,OPT-NC 2025,COMP116,21967287,Savoir,2.0,4.0,2025-09-03 13:56:16,2025-09-11 07:26:46,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,Techniques de gestion de conflits,OPT-NC 2025,COMP117,21967288,Savoir,2.0,3.0,2025-09-03 13:56:16,2025-09-11 07:26:48,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,Techniques de gestion de projets,OPT-NC 2025,COMP58,21967229,Savoir,2.0,2.0,2026-02-25 03:36:56,2026-02-25 03:37:15,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,Techniques de management,OPT-NC 2025,COMP115,21967286,Savoir,2.0,4.0,2025-09-03 13:56:16,2025-09-11 07:26:44,true
11041851,OP001,Chargé de soutien des réseaux de vente,Vente & relation client,Travailler en réseau,OPT-NC 2025,COMP572,21967743,savoir faire,2.0,4.0,2025-09-03 13:56:17,2025-09-11 07:27:11,true
11041852,OP002,Chargé d'affaires,Vente & relation client,Aisance relationnelle,OPT-NC 2025,COMP585,21967756,Savoir être,2.0,3.0,2025-09-03 13:56:09,2025-09-11 07:19:26,true
11041852,OP002,Chargé d'affaires,Vente & relation client,Analyser un besoin,OPT-NC 2025,COMP454,21967625,savoir faire,2.0,3.0,2025-09-03 13:56:09,2025-09-11 07:19:21,true
11041852,OP002,Chargé d'affaires,Vente & relation client,Aptitude à l'écoute,OPT-NC 2025,COMP587,21967758,Savoir être,2.0,4.0,2025-09-03 13:56:09,2025-09-11 07:19:26,true
11041852,OP002,Chargé d'affaires,Vente & relation client,Capacité à communiquer,OPT-NC 2025,COMP588,21967759,Savoir être,2.0,3.0,2025-09-03 13:56:09,2025-09-11 07:19:29,true
11041852,OP002,Chargé d'affaires,Vente & relation client,Connaissance des outils bureautiques et applications informatiques nécessaires au métier,OPT-NC 2025,COMP29,21967200,Savoir,2.0,2.0,2025-09-03 13:56:08,2025-09-11 07:19:18,true
11041852,OP002,Chargé d'affaires,Vente & relation client,Connaissance des produits et services de l'OPT-NC,OPT-NC 2025,COMP81,21967252,Savoir,2.0,3.0,2025-09-03 13:56:08,2025-09-11 07:19:16,true
11041852,OP002,Chargé d'affaires,Vente & relation client,"Conseiller une personne, un groupe",OPT-NC 2025,COMP484,21967655,savoir faire,2.0,3.0,2025-09-03 13:56:09,2025-09-11 07:19:22,true
11041852,OP002,Chargé d'affaires,Vente & relation client,Etre autonome,OPT-NC 2025,COMP579,21967750,Savoir être,2.0,3.0,2025-09-03 13:56:09,2025-09-11 07:19:27,true
11041852,OP002,Chargé d'affaires,Vente & relation client,Faculté d'adaptation,OPT-NC 2025,COMP594,21967765,Savoir être,2.0,3.0,2025-09-03 13:56:09,2025-09-11 07:19:24,true
11041852,OP002,Chargé d'affaires,Vente & relation client,Faire preuve de discrétion,OPT-NC 2025,COMP591,21967762,Savoir être,2.0,3.0,2025-09-03 13:56:09,2025-09-11 07:19:28,true
11041852,OP002,Chargé d'affaires,Vente & relation client,Gérer une relation client,OPT-NC 2025,COMP521,21967692,savoir faire,2.0,3.0,2025-09-03 13:56:09,2025-09-11 07:19:20,true
11041852,OP002,Chargé d'affaires,Vente & relation client,Piloter la performance,OPT-NC 2025,COMP541,21967712,savoir faire,2.0,3.0,2025-09-03 13:56:09,2025-09-11 07:19:23,true
11041852,OP002,Chargé d'affaires,Vente & relation client,Prospecter un marché,OPT-NC 2025,COMP551,21967722,savoir faire,2.0,3.0,2025-09-03 13:56:09,2025-09-11 07:19:19,true
11041852,OP002,Chargé d'affaires,Vente & relation client,Réactivité,OPT-NC 2025,COMP596,21967767,Savoir être,2.0,3.0,2025-09-03 13:56:09,2025-09-11 07:19:25,true
11041852,OP002,Chargé d'affaires,Vente & relation client,"Techniques de vente (processus de vente : prospection,accueil client, découverte du besoin, présentation produits,négociation, suivi du client...)",OPT-NC 2025,COMP83,21967254,Savoir,2.0,3.0,2025-09-03 13:56:09,2025-09-11 07:19:18,true
11041852,OP002,Chargé d'affaires,Vente & relation client,Travailler en réseau,OPT-NC 2025,COMP572,21967743,savoir faire,2.0,3.0,2025-09-03 13:56:09,2025-09-11 07:19:22,true
11041853,OP003,Conseiller clientèle,Vente & relation client,Aisance relationnelle,OPT-NC 2025,COMP585,21967756,Savoir être,2.0,3.0,2025-09-03 13:56:38,2025-09-11 07:44:40,true
11041853,OP003,Conseiller clientèle,Vente & relation client,Aptitude à l'écoute,OPT-NC 2025,COMP587,21967758,Savoir être,2.0,3.0,2025-09-03 13:56:38,2025-09-11 07:44:46,true
11041853,OP003,Conseiller clientèle,Vente & relation client,Argumenter,OPT-NC 2025,COMP467,21967638,savoir faire,2.0,3.0,2025-09-03 13:56:38,2025-09-11 07:43:57,true
11041853,OP003,Conseiller clientèle,Vente & relation client,Communiquer,OPT-NC 2025,COMP474,21967645,savoir faire,2.0,3.0,2025-09-03 13:56:38,2025-09-11 07:43:51,true
11041853,OP003,Conseiller clientèle,Vente & relation client,Conduire un entretien,OPT-NC 2025,COMP481,21967652,savoir faire,2.0,2.0,2025-09-03 13:56:38,2025-09-11 07:44:34,true
11041853,OP003,Conseiller clientèle,Vente & relation client,Connaissance de l'organisation du fonctionnement et des processus de l'OPT-NC,OPT-NC 2025,COMP61,21967232,Savoir,2.0,2.0,2026-02-25 04:14:44,2026-02-25 04:14:54,true
11041853,OP003,Conseiller clientèle,Vente & relation client,Connaissance des outils bureautiques et applications informatiques nécessaires au métier,OPT-NC 2025,COMP29,21967200,Savoir,2.0,3.0,2025-09-03 13:56:38,2025-09-11 07:43:19,true
11041853,OP003,Conseiller clientèle,Vente & relation client,Connaissance des produits et services de l'OPT-NC,OPT-NC 2025,COMP81,21967252,Savoir,2.0,4.0,2025-09-03 13:56:38,2025-09-11 07:43:25,true
11041853,OP003,Conseiller clientèle,Vente & relation client,Esprit d'initiative,OPT-NC 2025,COMP578,21967749,Savoir être,2.0,2.0,2025-09-03 13:56:39,2025-09-11 07:45:19,true
11041853,OP003,Conseiller clientèle,Vente & relation client,Etre autonome,OPT-NC 2025,COMP579,21967750,Savoir être,2.0,3.0,2025-09-03 13:56:39,2025-09-11 07:45:12,true
11041853,OP003,Conseiller clientèle,Vente & relation client,Gérer une relation client,OPT-NC 2025,COMP521,21967692,savoir faire,2.0,3.0,2025-09-03 13:56:38,2025-09-11 07:44:03,true
11041853,OP003,Conseiller clientèle,Vente & relation client,Maîtrise de soi,OPT-NC 2025,COMP595,21967766,Savoir être,2.0,3.0,2025-09-03 13:56:39,2025-09-11 07:44:53,true
11041853,OP003,Conseiller clientèle,Vente & relation client,Prioriser,OPT-NC 2025,COMP548,21967719,savoir faire,2.0,2.0,2025-09-03 13:56:38,2025-09-11 07:44:10,true
11041853,OP003,Conseiller clientèle,Vente & relation client,Rendre compte,OPT-NC 2025,COMP558,21967729,savoir faire,2.0,2.0,2025-09-03 13:56:38,2025-09-11 07:44:16,true
11041853,OP003,Conseiller clientèle,Vente & relation client,Réactivité,OPT-NC 2025,COMP596,21967767,Savoir être,2.0,3.0,2025-09-03 13:56:39,2025-09-11 07:45:00,true
11041853,OP003,Conseiller clientèle,Vente & relation client,Résoudre un problème,OPT-NC 2025,COMP560,21967731,savoir faire,2.0,3.0,2025-09-03 13:56:38,2025-09-11 07:44:22,true
11041853,OP003,Conseiller clientèle,Vente & relation client,Sens du service public,OPT-NC 2025,COMP599,21967770,Savoir être,2.0,3.0,2025-09-03 13:56:39,2025-09-11 07:45:06,true
11041853,OP003,Conseiller clientèle,Vente & relation client,Techniques de phoning,OPT-NC 2025,COMP200,21967371,Savoir,2.0,3.0,2025-09-03 13:56:38,2025-09-11 07:43:31,true
11041853,OP003,Conseiller clientèle,Vente & relation client,"Techniques de vente (processus de vente : prospection,accueil client, découverte du besoin, présentation produits,négociation, suivi du client...)",OPT-NC 2025,COMP83,21967254,Savoir,2.0,3.0,2025-09-03 13:56:38,2025-09-11 07:43:38,true
11041853,OP003,Conseiller clientèle,Vente & relation client,Travailler en réseau,OPT-NC 2025,COMP572,21967743,savoir faire,2.0,3.0,2025-09-03 13:56:38,2025-09-11 07:44:28,true
11041854,OP004,Coordonateur de l'exploitation commerciale,Vente & relation client,"Accompagner une personne, un groupe",OPT-NC 2025,COMP449,21967620,savoir faire,2.0,3.0,2025-09-03 13:56:46,2025-09-11 07:51:32,true
11041854,OP004,Coordonateur de l'exploitation commerciale,Vente & relation client,Agir en situation difficile,OPT-NC 2025,COMP452,21967623,savoir faire,2.0,3.0,2025-09-03 13:56:46,2025-09-11 07:51:49,true
11041854,OP004,Coordonateur de l'exploitation commerciale,Vente & relation client,Aisance relationnelle,OPT-NC 2025,COMP585,21967756,Savoir être,2.0,3.0,2025-09-03 13:56:46,2025-09-11 07:51:58,true
11041854,OP004,Coordonateur de l'exploitation commerciale,Vente & relation client,"Animer un groupe, une équipe",OPT-NC 2025,COMP461,21967632,savoir faire,2.0,2.0,2025-09-03 13:56:46,2025-09-11 07:51:37,true
11041854,OP004,Coordonateur de l'exploitation commerciale,Vente & relation client,Avoir l'esprit d'équipe,OPT-NC 2025,COMP586,21967757,Savoir être,2.0,3.0,2025-09-03 13:56:46,2025-09-11 07:52:02,true
11041854,OP004,Coordonateur de l'exploitation commerciale,Vente & relation client,Communiquer,OPT-NC 2025,COMP474,21967645,savoir faire,2.0,3.0,2025-09-03 13:56:46,2025-09-11 07:51:42,true
11041854,OP004,Coordonateur de l'exploitation commerciale,Vente & relation client,"Connaissance de l'organisation et des processus de l'Office applicables à l'activité ""relation client""",OPT-NC 2025,COMP226,21967397,Savoir,2.0,3.0,2025-09-03 13:56:45,2025-09-11 07:50:50,true
11041854,OP004,Coordonateur de l'exploitation commerciale,Vente & relation client,Connaissance des outils bureautiques et applications informatiques nécessaires au métier,OPT-NC 2025,COMP29,21967200,Savoir,2.0,3.0,2025-09-03 13:56:45,2025-09-11 07:50:54,true
11041854,OP004,Coordonateur de l'exploitation commerciale,Vente & relation client,Connaissance des produits et services de l'OPT-NC,OPT-NC 2025,COMP81,21967252,Savoir,2.0,2.0,2025-09-03 13:56:45,2025-09-11 07:50:58,true
