code_metier,neobrain_metier_id,metier_collaborateur,famille_metier_id,statut_metier_id,metier_actif
OP005,11041855,Chargé de contact clientèle,vente_relation_client,PUBLIE,true
OP011,11041861,Responsable LCBTF,services_bancaires,PUBLIE,true
OP012,11041862,Gestionnaire du back office bancaire,services_bancaires,PUBLIE,true
OP017,11041867,Product owner,pilotage,PUBLIE,true
OP021,11041871,Planificateur réseaux,telecommunications,PUBLIE,true
OP023,11041873,Chargé d'ordonnancement,telecommunications,PUBLIE,true
OP024,11041874,Coordinateur de travaux,telecommunications,PUBLIE,true
OP033,11041883,Assistant administratif,administration,PUBLIE,true
OP036,11041886,Chargé de recrutement,ressources_humaines,PUBLIE,true
OP052,11041902,Agent d'entretien des locaux,logistique,PUBLIE,true
OP056,11041906,Gestionnaire de parc,logistique,PUBLIE,true
OP057,11041907,Acheteur,logistique,PUBLIE,true
OP058,11041908,Chargé de la transition énergétique,logistique,PUBLIE,true
OP064,11041914,Administrateur réseau,systemes_d_information,PUBLIE,true
OP065,11041915,Administrateur système,systemes_d_information,PUBLIE,true
OP066,11041916,Administrateur d'application,systemes_d_information,PUBLIE,true
OP071,11041921,Technicien support utilisateur,systemes_d_information,PUBLIE,true
OP073,11041923,Responsable de la Sécurité des Systèmes d'Information - SSI,systemes_d_information,PUBLIE,true
OP001,11041851,Chargé de soutien des réseaux de vente,vente_relation_client,PUBLIE,true
OP003,11041853,Conseiller clientèle,vente_relation_client,PUBLIE,true
OP008,11041858,Chef de produits,marketing_et_communication,PUBLIE,true
OP014,11041864,Coordinateur courrier colis,activites_postales,PUBLIE,true
OP019,11041869,Concepteur des réseaux et services des télécommunications,telecommunications,PUBLIE,true
OP030,11041880,Pilote d'intervention client,telecommunications,PUBLIE,true
OP042,11041892,Gestionnaire paie,ressources_humaines,PUBLIE,true
OP046,11041896,Gestionnaire budgétaire,finances_budget,PUBLIE,true
OP053,11041903,Approvisionneur,logistique,PUBLIE,true
OP055,11041905,Gestionnaire logistique,logistique,PUBLIE,true
OP059,11041909,Agent d'entretien des espaces naturels,logistique,PUBLIE,true
OP076,11041926,Contrôleur de gestion,pilotage,PUBLIE,true
OP078,11041928,Responsable de projet,pilotage,PUBLIE,true
OP083,11041933,Juriste conformité,pilotage,PUBLIE,true
OP002,11041852,Chargé d'affaires,vente_relation_client,PUBLIE,true
OP004,11041854,Coordonateur de l'exploitation commerciale,vente_relation_client,PUBLIE,true
OP006,11041856,Responsable marketing stratégique,marketing_et_communication,PUBLIE,true
OP007,11041857,Chargé d'études marketing,marketing_et_communication,PUBLIE,true
OP022,11041872,Ingénieur de déploiement des réseaux et services des télécommunications,telecommunications,PUBLIE,true
OP025,11041875,Analyste qualité et performance des réseaux et services,telecommunications,PUBLIE,true
OP027,11041877,Technicien d'exploitation des réseaux et services des télécommunications,telecommunications,PUBLIE,true
OP028,11041878,Technicien support client,telecommunications,PUBLIE,true
OP029,11041879,Planificateur d'intervention des réseaux et services,telecommunications,PUBLIE,true
OP031,11041881,Technicien d'intervention client,telecommunications,PUBLIE,true
OP032,11041882,Responsable administratif,administration,PUBLIE,true
OP034,11041884,Référent RH,administration,PUBLIE,true
OP041,11041891,Chargé des relations sociales,ressources_humaines,PUBLIE,true
OP045,11041895,Agent comptable,finances_budget,PUBLIE,true
OP048,11041898,Responsable financier,finances_budget,PUBLIE,true
OP050,11041900,Conducteur d'opération en batiment,patrimoine_bati,PUBLIE,true
OP054,11041904,Magasinier,logistique,PUBLIE,true
OP060,11041910,Chargé du dédouanement,logistique,PUBLIE,true
