code_competence,niveau,description
COMP65,1,"Compétence élémentaire, peu ou pas d'expérience"
COMP330,1,"Compétence élémentaire, peu ou pas d'expérience"
COMP386,1,"Compétence élémentaire, peu ou pas d'expérience"
COMP73,1,"Compétence élémentaire, peu ou pas d'expérience"
COMP532,1,"Compétence élémentaire, peu ou pas d'expérience"
COMP130,1,"Compétence élémentaire, peu ou pas d'expérience"
COMP602,1,"Compétence élémentaire, peu ou pas d'expérience"
COMP465,1,"Compétence élémentaire, peu ou pas d'expérience"
COMP273,1,"Compétence élémentaire, peu ou pas d'expérience"
COMP350,1,"Compétence élémentaire, peu ou pas d'expérience"
COMP312,1,"Compétence élémentaire, peu ou pas d'expérience"
COMP69,1,"Compétence élémentaire, peu ou pas d'expérience"
COMP553,1,"Compétence élémentaire, peu ou pas d'expérience"
COMP355,1,"Compétence élémentaire, peu ou pas d'expérience"
COMP90,1,"Compétence élémentaire, peu ou pas d'expérience"
COMP210,1,"Compétence élémentaire, peu ou pas d'expérience"
COMP483,1,"Compétence élémentaire, peu ou pas d'expérience"
COMP393,1,"Compétence élémentaire, peu ou pas d'expérience"
COMP185,1,"Compétence élémentaire, peu ou pas d'expérience"
COMP111,1,"Compétence élémentaire, peu ou pas d'expérience"
COMP573,1,"Compétence élémentaire, peu ou pas d'expérience"
COMP449,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP529,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP406,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP262,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP257,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP141,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP505,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP415,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP526,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP599,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP448,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP520,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP567,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP426,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP151,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP184,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP93,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP408,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP613,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP495,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP557,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP259,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP437,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP122,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP543,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP516,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP606,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP512,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP492,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP31,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP219,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP186,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP541,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP43,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP480,4,"Expertise sur toutes les composantes de la compétence, mobilisation de la compétence en situation complexe"
COMP484,3,"Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale"
COMP347,3,"Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale"
COMP598,3,"Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale"
COMP477,3,"Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale"
COMP520,3,"Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale"
COMP461,3,"Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale"
COMP475,3,"Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale"
COMP561,3,"Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale"
COMP507,3,"Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale"
COMP578,3,"Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale"
COMP511,3,"Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale"
COMP545,3,"Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale"
COMP4,3,"Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale"
COMP285,3,"Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale"
COMP527,3,"Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale"
COMP454,3,"Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale"
COMP173,3,"Maîtrise solide et expérimentée, mobilisation opérationnelle de la compétence en situation normale"
